name,brand,categories,primaryCategories,reviews_date,reviews_text,reviews_title,sentiment
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-05-18T00:00:00.000Z,"['got', 'tablet', 'replace', 'sons', 'old', 'one', 'love', 'adultchild', 'profile', 'ability', 'year', 'replacement', 'warranty', 'case', 'also', 'came', 'handy', 'many', 'times']",Great Tablet,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-06T00:00:00.000Z,"['great', 'product', 'kids', 'gaming', 'apps', 'parental', 'controls', 'make', 'sure', 'monitor', 'kids', 'prevent', 'unwanted', 'app', 'purchases']",Works great,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",Amazon,"Tablets,Fire Tablets,Electronics,Computers,Computer Components,Hard Drives & Storage,Computers & Tablets,All Tablets",Electronics,2017-01-16T00:00:00.000Z,"['love', 'choice', 'colors', 'two', 'kindles', 'purchased', 'gift']",great pad for both children and adults,positive
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Blue",Amazon,"Fire Tablets,Tablets,All Tablets,Amazon Tablets",Electronics,2016-12-31T00:00:00.000Z,"['replaces', 'fire', 'kindle', 'love', 'hd', 'quality']","Love the Amazon 8"" HD",positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-28T00:00:00.000Z,"['bought', 'replace', 'children', 'aging', 'ipads', 'happy']",Awesome,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-31T00:00:00.000Z,"['great', 'purchase', 'love', 'fact', 'download', 'tv', 'movies', 'watch', 'offline', 'easy', 'set']",Great tablet!,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2018-04-18T00:00:00.000Z,"['surprisingly', 'useful', 'ben', 'echo', 'much', 'better', 'gen', 'definitely', 'recommend']",It’s Good,positive
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2017-04-12T00:00:00.000Z,"['good', 'old', 'kindle', 'seams', 'work', 'better']",Not as good as before,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-01T00:00:00.000Z,"['got', 'model', 'sale', 'price', 'built', 'hub', 'controls', 'hue', 'strip', 'lights', 'didnaot', 'want', 'say', 'google', 'time', 'sounds', 'like', 'baby', 'talk', 'lol']",Works great.....,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2018-02-25T00:00:00.000Z,"['little', 'hesitant', 'spend', 'money', 'get', 'glad', 'alexa', 'always', 'answers', 'say', 'commands', 'noticed', 'probably', 'right', 'command', 'given', 'love', 'fact', 'see', 'things', 'screen', 'news', 'briefings', 'picturevideo', 'nice', 'also', 'love', 'video', 'call', 'option', 'planning', 'getting', 'one', 'grandma', 'technologically', 'advanced', 'could', 'sit', 'table', 'talk', 'grandkids', 'worth', 'every', 'penny']",So simple and powerful!,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-20T00:00:00.000Z,"['alexa', 'exceed', 'expectations', 'ability', 'control']",Great Experience exceeds expectaton,positive
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-30T00:00:00.000Z,"['great', 'tablet', 'grandkids', 'love', 'great', 'item']",Great tablet,positive
"Brand New Amazon Kindle Fire 16gb 7"" Ips Display Tablet Wifi 16 Gb Blue",Amazon,"Computers/Tablets & Networking,Tablets & eBook Readers,Computers & Tablets,Tablets,All Tablets",Electronics,2016-09-13T00:00:00.000Z,"['prime', 'almost', 'must', 'keeps', 'amazon', 'stuff', 'one', 'place']",Great tablet for Amazon,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-12-14T00:00:00.000Z,"['small', 'enough', 'carry', 'purse', 'open', 'whole', 'new', 'world', 'waiting', 'appointments']",can download audio books,negative
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2017-07-19T00:00:00.000Z,"['want', 'listen', 'music', 'sign', 'amazon', 'unlimited', 'prime', 'expensive', 'pandora', 'work', 'well', 'device', 'google', 'home']",Great product but requires Amazon membership...,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-30T00:00:00.000Z,"['gift', 'mom', 'enjoys', 'easy', 'use', 'good', 'picture', 'sound', 'quality', 'price', 'also', 'great']",Great every day tablet,positive
"Amazon - Kindle Voyage - 6"" - 4GB - Black",Amazon,"eBook Readers,Electronics Features,Walmart for Business,Tablets,See more Amazon Kindle Voyage (Wi-Fi),Electronics,Office Electronics,iPad & Tablets,Kindle E-readers,E-Readers & Accessories,All Tablets,See more Amazon Kindle Voyage 4GB, Wi-Fi  3G (Unlocked...,Computers & Tablets",Electronics,2016-09-02T00:00:00.000Z,"['kindle', 'easier', 'viewing', 'light', 'adjustment', 'great']",We bought it for our son and he loves it.,positive
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-09-27T00:00:00.000Z,"['wanted', 'tablet', 'would', 'fit', 'purse', 'easy', 'use', 'would', 'buy']",Love it,positive
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2016-11-25T00:00:00.000Z,"['grand', 'kids', 'love', 'picked', 'network', 'short', 'order', 'like', 'idea', 'ipad', 'like', 'adults', 'well', 'implemented']","Love it, grandkids took to it immediately",positive
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2017-08-04T00:00:00.000Z,"['good', 'setup', 'enable', 'voice', 'control', 'ios', 'unclear']",Good but setup to enable voice control only,negative
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2018-03-02T00:00:00.000Z,"['new', 'connected', 'home', 'equipment', 'got', 'wife', 'kitchen', 'thing', 'wish', 'different', 'would', 'amazon', 'show', 'would', 'communicate', 'directly', 'facetime', 'rather', 'someone', 'download', 'alexa', 'app', 'deal', 'breaker', 'means', 'though', 'love']",Love it,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2018-02-18T00:00:00.000Z,"['use', 'alot', 'play', 'music', 'instead', 'running', 'tv', 'dog', 'go', 'somewhere', 'use', 'lot', 'things']",I like it a lot.,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-22T00:00:00.000Z,"['easy', 'set', 'easy', 'use', 'apps', 'awesome', 'sounds', 'great']",Love it!!,positive
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-12-30T00:00:00.000Z,"['great', 'tablet', 'basic', 'needs', 'internet', 'video', 'streaming', 'games', 'books', 'dont', 'need', 'ipad', 'get', 'one']",Great Cheap Tablet,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-11-05T00:00:00.000Z,"['like', 'tablet', 'everything', 'want', 'however', 'apps', 'within', 'need', 'updated', 'often', 'happened', 'would', 'top', 'ipad', 'mini', 'gives', 'enough', 'need', 'hd', 'good', 'deal']",Solid tablet with potential,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2018-01-26T00:00:00.000Z,"['worked', 'better', 'expected', 'highly', 'recommend', 'echo', 'show']",Awesome,positive
Amazon - Echo Plus w/ Built-In Hub - Silver,Amazon,"Amazon Echo,Smart Home,Networking,Home & Tools,Home Improvement,Smart Home Automation,Voice Assistants,Amazon Home,Amazon,Smart Hub & Kits,Digital Device 3","Electronics,Hardware",2017-12-29T00:00:00.000Z,"['great', 'sound', 'quality', 'easy', 'set', 'easy', 'use', 'looks', 'good']",Great product.,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-04-09T00:00:00.000Z,"['tablet', 'quick', 'good', 'ipad', 'use', 'tablet', 'specifically', 'one', 'aspect', 'life', 'performs', 'great', 'pleasantly', 'surprised', 'performance']",Fabulous easy tablet,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2018-01-06T00:00:00.000Z,"['amazon', 'echo', 'show', 'great', 'help', 'daily', 'rutine', 'asking', 'simple', 'things', 'like', 'weather', 'specific', 'things', 'like', 'flash', 'briefings', 'traffic', 'commute', 'echo', 'show', 'great', 'tool', 'tech', 'enthusiast']",Great Assistant,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-03-26T00:00:00.000Z,"['meet', 'needs', 'plus', 'recommend', 'buy', 'good', 'stylus', 'pen', 'time']",Does all that I need.,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2016-11-04T00:00:00.000Z,"['great', 'tablet', 'amazing', 'storage', 'use', 'mine', 'daily', 'great', 'reading', 'surfing', 'web', 'games', 'one', 'small', 'thing', 'nt', 'like', 'amazon', 'prime', 'shows', 'bit', 'dark', 'reason', 'hulu', 'netflix', 'work', 'wonderful']",Great tablet,positive
"Fire Kids Edition Tablet, 7 Display, Wi-Fi, 16 GB, Blue Kid-Proof Case",Amazon,"Computers,Fire Tablets,Electronics Features,Computer Accessories,Tablets,Top Rated,Amazon Tablets,Electronics,Kids' Tablets,iPad & Tablets,Cases & Bags,Electronics, Tech Toys, Movies, Music,Computers & Tablets",Electronics,2017-01-27T00:00:00.000Z,"['good', 'tablet', 'comes', 'lot', 'free', 'apps', 'fantastic', 'warranty']",User friendly,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-22T00:00:00.000Z,"['use', 'office', 'personal', 'assistant', 'home']",Endless possibilities.,negative
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2018-02-21T00:00:00.000Z,"['tech', 'totally', 'friendly', 'cost', 'worth', 'investment']",Loved it,positive
Amazon Tap - Alexa-Enabled Portable Bluetooth Speaker,Amazon,"Amazon Echo,Home Theater & Audio,MP3 MP4 Player Accessories,Electronics,Portable Audio,Compact Radios Stereos,Smart Hubs & Wireless Routers,Featured Brands,Smart Home & Connected Living,Home Security,Kindle Store,Electronic Components,Home Automation,Mobile Bluetooth Speakers,Home, Garage & Office,Amazon Tap,Home,Mobile Speakers,TVs & Electronics,Portable Bluetooth Speakers,Bluetooth & Wireless Speakers,Electronics Features,Frys,Speakers,Mobile,Digital Device 3,Smart Home,Home Improvement,Electronics, Tech Toys, Movies, Music,Smart Home & Home Automation Devices,Smart Hubs,MP3 Player Accessories,Home Safety & Security,Voice Assistants,Amazon Home,Alarms & Sensors,Portable Audio & Electronics,Amazon Devices,Audio,Bluetooth Speakers,MP3 Accessories,All Bluetooth & Wireless Speakers",Electronics,2016-07-21T00:00:00.000Z,"['tap', 'essentially', 'smaller', 'version', 'echo', 'alexa', 'capability', 'like', 'echo', 'also', 'doubles', 'portable', 'bluetooth', 'speaker', 'need', 'tap', 'ask', 'alexa', 'anything', 'otherwise', 'works', 'echo', 'prefer', 'echo', 'tap', 'great', 'college', 'students', 'want', 'supplement', 'echo']",Nice alternative to the Echo,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Computers,Amazon Echo,Virtual Assistant Speakers,Audio & Video Components,Electronics Features,Computer Accessories,Home & Tools,See more Amazon Echo Show Smart Assistant - White,Smart Home Automation,Electronics,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Consumer Electronics,Wireless Speakers,Home Improvement,Amazon Home,Amazon,Computer Speakers,Voice-Enabled Smart Assistants","Electronics,Hardware",2017-12-25T00:00:00.000Z,"['awesome', 'product', 'says', 'looks', 'great']",Great,positive
"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Blue",Amazon,"Fire Tablets,Tablets,All Tablets,Amazon Tablets,Computers & Tablets",Electronics,2017-01-27T00:00:00.000Z,"['bought', 'device', 'use', 'children', 'therapy', 'practice', 'taking', 'awhile', 'figure', 'set', 'organize', 'took', 'set', 'things', 'amazon', 'approve', 'charging', 'account', 'registering', 'prime', 'could', 'figure', 'settings', 'picture', 'quality', 'screen', 'beautiful', 'camera', 'photos', 'pixelated']",The Fire is good for the price,positive
"All-New Fire HD 8 Tablet, 8"" HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",Amazon,"Electronics,iPad & Tablets,All Tablets,Fire Tablets,Tablets,Computers & Tablets",Electronics,2017-01-13T00:00:00.000Z,"['inexpensive', 'tablet', 'use', 'learn', 'step', 'nabi', 'thrilled', 'learn', 'skype', 'already']",Beginner tablet for our 9 year old son.,positive
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2016-10-19T00:00:00.000Z,"['rd', 'amazon', 'fire', 'battery', 'life', 'outstanding', 'really', 'nice', 'reading', 'book', 'worry', 'battery', 'nice', 'size']",Amazon fire,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2017-12-04T00:00:00.000Z,"['first', 'wasnt', 'sure', 'something', 'needed', 'already', 'echo', 'sale', 'black', 'friday', 'thought', 'soon', 'set', 'understood', 'needed', 'enhances', 'everything', 'alexa', 'able', 'see', 'says', 'great', 'seeing', 'adjusting', 'shopping', 'list', 'touch', 'amazing', 'love', 'walking', 'room', 'seeing', 'little', 'news', 'blurbs', 'looks', 'sleek', 'beautiful', 'counter', 'highly', 'recommend', 'anyone']",Hesitant at first but I am so impressed!,positive
"Fire Tablet, 7 Display, Wi-Fi, 16 GB - Includes Special Offers, Black",Amazon,"Fire Tablets,Computers/Tablets & Networking,Tablets,All Tablets,Amazon Tablets,Frys,Computers & Tablets,Tablets & eBook Readers",Electronics,2017-02-05T00:00:00.000Z,"['bought', 'wife', 'gift', 'replace', 'older', 'fire', 'absolutely', 'loves', 'features', 'needs', 'nt', 'think', 'better', 'tablet', 'market', 'value', 'incredible']",Best tablet on the market for the money,positive
"Amazon Echo Show Alexa-enabled Bluetooth Speaker with 7"" Screen",Amazon,"Amazon Echo,Virtual Assistant Speakers,Electronics Features,Home & Tools,Smart Home Automation,TVs Entertainment,Speakers,Smart Hub & Kits,Digital Device 3,Wireless Speakers,Smart Home,Home Improvement,Voice Assistants,Amazon Home,Amazon","Electronics,Hardware",2018-01-27T00:00:00.000Z,"['love', 'kitchen', 'play', 'music', 'ask', 'questions', 'make', 'list', 'set', 'timers', 'etc']",So cool,positive
